######################################################################################################
# chan      Xsec[pb]        kFact       filtereff   HistSvc_name    physically_descriptive_name
######################################################################################################

# XS from LHCHXSWG  https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt1314TeV#s_13_0_TeV
167838   0.068740           1.0            0.416890       Z                        Sherpa_CT10_ZmumuMassiveCBPt500_CVetoBVeto                         
167755   1929.700           1.0            0.038191       Z                        Sherpa_CT10_ZtautauMassiveCBPt0_BFilter                            
167756   1928.400           1.0            0.326570       Z                        Sherpa_CT10_ZtautauMassiveCBPt0_CFilterBVeto                       
167757   1925.500           1.0            0.633540       Z                        Sherpa_CT10_ZtautauMassiveCBPt0_CVetoBVeto                         
167803   66.84200           1.0            0.101530       Z                        Sherpa_CT10_ZtautauMassiveCBPt70_140_BFilter                       
167804   66.88200           1.0            0.393420       Z                        Sherpa_CT10_ZtautauMassiveCBPt70_140_CFilterBVeto                  
167805   66.99500           1.0            0.505840       Z                        Sherpa_CT10_ZtautauMassiveCBPt70_140_CVetoBVeto                    
167815   10.62600           1.0            0.118240       Z                        Sherpa_CT10_ZtautauMassiveCBPt140_280_BFilter                      
167816   10.62700           1.0            0.409300       Z                        Sherpa_CT10_ZtautauMassiveCBPt140_280_CFilterBVeto                 
167817   10.66900           1.0            0.476460       Z                        Sherpa_CT10_ZtautauMassiveCBPt140_280_CVetoBVeto                   
167827   0.831400           1.0            0.132670       Z                        Sherpa_CT10_ZtautauMassiveCBPt280_500_BFilter                      
167828   0.833350           1.0            0.424320       Z                        Sherpa_CT10_ZtautauMassiveCBPt280_500_CFilterBVeto                 
167829   0.830130           1.0            0.442860       Z                        Sherpa_CT10_ZtautauMassiveCBPt280_500_CVetoBVeto                   
167839   0.068460           1.0            0.143780       Z                        Sherpa_CT10_ZtautauMassiveCBPt500_BFilter                          
167840   0.068750           1.0            0.441120       Z                        Sherpa_CT10_ZtautauMassiveCBPt500_CFilterBVeto                     
167841   0.067865           1.0            0.414960       Z                        Sherpa_CT10_ZtautauMassiveCBPt500_CVetoBVeto                       
167758   10471.00           1.0            0.039883       Z                        Sherpa_CT10_ZnunuMassiveCBPt0_BFilter                              
